language,count
Insulation,10
Proximity,1
Hydrocarbon,8
Derecho,1
Realm,1
Descent,3
Lake,1272
Maturation,1
Instrument,3119
Fjord,15
Function,124
Mining,234
Explosion,3
Fertilization,4
Oxidation,1
Wireless,125
Mouth,3
Barometric Pressure,5
Gorge,5
Structure,624
Loss,56
Spill,104
Route,92
Swamp,10
Magnetosphere,11
Obscuration,4
Crude Oil,11
Pack Ice,1
Upwelling,7
Discover,596
Natural Resource,559
Sleet,7
Standard Deviation,6
Bacteria,14
